FID,id,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,geom
focos_brasil_hoje_ref.b67281b5-6051-33e9-841b-5b0ca6530e5f,b67281b5-6051-33e9-841b-5b0ca6530e5f,-50.962,-5.061,2020-09-24T16:35:00,AQUA_M-T,ANAPU,PARÁ,Brasil,1500859,15,33,,,,Amazônia,POINT (-5.061 -50.962)
focos_brasil_hoje_ref.ba985180-77b6-355a-b82f-fdd766c26b5a,ba985180-77b6-355a-b82f-fdd766c26b5a,-44.181,-5.84,2020-09-24T16:35:00,AQUA_M-T,JATOBÁ,MARANHÃO,Brasil,2105450,21,33,,,,Cerrado,POINT (-5.84 -44.181)
focos_brasil_hoje_ref.988f8405-66d7-35a3-8e14-bb80a13a6a1a,988f8405-66d7-35a3-8e14-bb80a13a6a1a,-50.659,0.68,2020-09-24T16:35:00,AQUA_M-T,MACAPÁ,AMAPÁ,Brasil,1600303,16,33,,,,Amazônia,POINT (0.68 -50.659)
focos_brasil_hoje_ref.467c421b-07c6-3220-b1c3-6cc20a1af6f3,467c421b-07c6-3220-b1c3-6cc20a1af6f3,-42.766,-3.29,2020-09-24T16:35:00,AQUA_M-T,SANTA QUITÉRIA DO MARANHÃO,MARANHÃO,Brasil,2110104,21,33,,,,Cerrado,POINT (-3.29 -42.766)
focos_brasil_hoje_ref.50bb5c86-c5d4-3415-9786-5b3d58f68da3,50bb5c86-c5d4-3415-9786-5b3d58f68da3,-49.557,-4.619,2020-09-24T16:35:00,AQUA_M-T,NOVO REPARTIMENTO,PARÁ,Brasil,1505064,15,33,,,,Amazônia,POINT (-4.619 -49.557)
focos_brasil_hoje_ref.360bd8bd-5850-317f-8764-b2d96ed920b8,360bd8bd-5850-317f-8764-b2d96ed920b8,-44.172,-5.839,2020-09-24T16:35:00,AQUA_M-T,JATOBÁ,MARANHÃO,Brasil,2105450,21,33,,,,Cerrado,POINT (-5.839 -44.172)
focos_brasil_hoje_ref.50958bf9-6a7f-3203-9d77-3b71b19238a5,50958bf9-6a7f-3203-9d77-3b71b19238a5,-53.616,-3.764,2020-09-24T16:35:00,AQUA_M-T,URUARÁ,PARÁ,Brasil,1508159,15,33,,,,Amazônia,POINT (-3.764 -53.616)
focos_brasil_hoje_ref.2cfd30e8-15b5-3b18-9306-289c8c628b0d,2cfd30e8-15b5-3b18-9306-289c8c628b0d,-43.748,-3.247,2020-09-24T16:35:00,AQUA_M-T,MORROS,MARANHÃO,Brasil,2107100,21,33,,,,Cerrado,POINT (-3.247 -43.748)
focos_brasil_hoje_ref.cd3329dc-1bc5-38d3-a105-b56f583973ed,cd3329dc-1bc5-38d3-a105-b56f583973ed,-47.56,-0.775,2020-09-24T16:35:00,AQUA_M-T,MARACANÃ,PARÁ,Brasil,1504307,15,33,,,,Amazônia,POINT (-0.775 -47.56)
focos_brasil_hoje_ref.eceae465-4aad-35de-a18a-0e2a62784265,eceae465-4aad-35de-a18a-0e2a62784265,-48.802,-5.832,2020-09-24T16:35:00,AQUA_M-T,MARABÁ,PARÁ,Brasil,1504208,15,33,,,,Amazônia,POINT (-5.832 -48.802)
